Kaisa;634;Hernberg;VIHR;01;40;WOMEN;Helsinki;ELECTED;417;844;1261;0;1261;0.4;0.3;0.4;7084.273;
Ulla Marja;145;Urho;KOK;01;69;WOMEN;Helsinki;ELECTED;605;530;1135;1579;-444;0.4;0.5;0.3;7046.769;
Pia;119;Pakarinen;KOK;01;56;WOMEN;Helsinki;ELECTED;420;580;1000;956;44;0.3;0.3;0.3;6543.429;
Jasmin;628;Hamid;VIHR;01;33;WOMEN;Helsinki;ELECTED;362;849;1211;1200;11;0.4;0.3;0.4;6493.917;
Ville;400;Jalovaara;SDP;01;41;MEN;Helsinki;ELECTED;488;607;1095;901;194;0.3;0.4;0.3;6378.714;
Björn;203;Månsson;RKP;01;64;MEN;Helsinki;ELECTED;800;1150;1950;1002;948;0.6;0.6;0.6;6278.333;
Heimo;89;Laaksonen;KOK;01;66;MEN;Helsinki;ELECTED;363;609;972;809;163;0.3;0.3;0.3;6107.2;
Sami (Frank);311;Muttilainen;VAS;01;36;MEN;Helsinki;ELECTED;306;605;911;629;282;0.3;0.2;0.3;6011.0;
Johanna;720;Sydänmaa;VIHR;01;46;WOMEN;Helsinki;ELECTED;294;891;1185;893;292;0.4;0.2;0.4;5994.385;
Daniel;136;Sazonov;KOK;01;24;MEN;Helsinki;ELECTED;296;649;945;0;945;0.3;0.2;0.3;5725.5;
Abdirahim (Husu);434;Mohamed;SDP;01;38;MEN;Helsinki;ELECTED;655;312;967;347;620;0.3;0.5;0.2;5581.375;
Reetta;734;Vanhanen;VIHR;01;26;WOMEN;Helsinki;ELECTED;418;690;1108;0;1108;0.3;0.3;0.3;5566.214;
Jussi;822;Niinistö;PS;01;46;MEN;Helsinki;ELECTED;560;782;1342;842;500;0.4;0.5;0.4;5423.25;
Jenni;117;Pajunen;KOK;01;36;WOMEN;Helsinki;ELECTED;260;659;919;0;919;0.3;0.2;0.3;5388.706;
Sanna;737;Vesikansa;VIHR;01;44;WOMEN;Helsinki;ELECTED;336;763;1099;767;332;0.3;0.3;0.4;5195.133;
